duplicate_group,sha256,dataset,file,absolute_path
6,fc6521331be6c9d5028f265dafada0f324586dbfcfdd0be3ab7b73323f4f56ee,phenomsg,Hazardous\Hazardous\e-waste\-garbage-sorting-eco-friendly-sign-for-web-page-app-ui-ux-gui-design-2CPCA8A - Copy.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\-garbage-sorting-eco-friendly-sign-for-web-page-app-ui-ux-gui-design-2CPCA8A - Copy.jpg
6,fc6521331be6c9d5028f265dafada0f324586dbfcfdd0be3ab7b73323f4f56ee,phenomsg,Hazardous\Hazardous\e-waste\-garbage-sorting-eco-friendly-sign-for-web-page-app-ui-ux-gui-design-2CPCA8A.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\-garbage-sorting-eco-friendly-sign-for-web-page-app-ui-ux-gui-design-2CPCA8A.jpg
7,ba244ab505ca9dbe0a32c470c404a24f3e47e4f8ddf94428644071a9ab2484e5,phenomsg,Hazardous\Hazardous\e-waste\-mixed-electronic-waste-old-broken-computer-parts-and-cell-phones-1545599141 - Copy.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\-mixed-electronic-waste-old-broken-computer-parts-and-cell-phones-1545599141 - Copy.jpg
7,ba244ab505ca9dbe0a32c470c404a24f3e47e4f8ddf94428644071a9ab2484e5,phenomsg,Hazardous\Hazardous\e-waste\-mixed-electronic-waste-old-broken-computer-parts-and-cell-phones-1545599141.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\-mixed-electronic-waste-old-broken-computer-parts-and-cell-phones-1545599141.jpg
8,0dd90ae29657a983903f5a7e23d8b4040316334752f7c26667a1f1f00cb35b54,phenomsg,Hazardous\Hazardous\e-waste\0.40042800_1555498967_e-waste2 - Copy.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\0.40042800_1555498967_e-waste2 - Copy.jpg
8,0dd90ae29657a983903f5a7e23d8b4040316334752f7c26667a1f1f00cb35b54,phenomsg,Hazardous\Hazardous\e-waste\0.40042800_1555498967_e-waste2.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\0.40042800_1555498967_e-waste2.jpg
8,0dd90ae29657a983903f5a7e23d8b4040316334752f7c26667a1f1f00cb35b54,phenomsg,Hazardous\Hazardous\e-waste\e-waste22 - Copy.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\e-waste22 - Copy.jpg
8,0dd90ae29657a983903f5a7e23d8b4040316334752f7c26667a1f1f00cb35b54,phenomsg,Hazardous\Hazardous\e-waste\e-waste22.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\e-waste22.jpg
9,627488a74cc63892f54ec2c18d6eb6c808e8c87017e98a00d01e2eaef5326dfc,phenomsg,Hazardous\Hazardous\e-waste\01-e-waste-millions-tons - Copy.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\01-e-waste-millions-tons - Copy.jpg
9,627488a74cc63892f54ec2c18d6eb6c808e8c87017e98a00d01e2eaef5326dfc,phenomsg,Hazardous\Hazardous\e-waste\01-e-waste-millions-tons.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\01-e-waste-millions-tons.jpg
10,30fe645a52e5fa8cf9b49aab537d6eac415a6e4c918bbf7f49a1707ff97cd900,phenomsg,Hazardous\Hazardous\e-waste\01-e-waste-millions-tons_square - Copy.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\01-e-waste-millions-tons_square - Copy.jpg
10,30fe645a52e5fa8cf9b49aab537d6eac415a6e4c918bbf7f49a1707ff97cd900,phenomsg,Hazardous\Hazardous\e-waste\01-e-waste-millions-tons_square.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\01-e-waste-millions-tons_square.jpg
11,56c4cbef89d7324b9ab3859f891959b4bb2a79723bae685d31911d484514b20e,phenomsg,Hazardous\Hazardous\e-waste\02bulb-web2-1454343899851-superJumbo - Copy.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\02bulb-web2-1454343899851-superJumbo - Copy.jpg
11,56c4cbef89d7324b9ab3859f891959b4bb2a79723bae685d31911d484514b20e,phenomsg,Hazardous\Hazardous\e-waste\02bulb-web2-1454343899851-superJumbo.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\02bulb-web2-1454343899851-superJumbo.jpg
12,bfc9435a830405820552b63d48a7d962239aa758ee52dee4582727d30865a0f8,phenomsg,Hazardous\Hazardous\e-waste\04801E3UVtxDTDY9ek1ovu0-3..v1618408208 - Copy.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\04801E3UVtxDTDY9ek1ovu0-3..v1618408208 - Copy.jpg
12,bfc9435a830405820552b63d48a7d962239aa758ee52dee4582727d30865a0f8,phenomsg,Hazardous\Hazardous\e-waste\04801E3UVtxDTDY9ek1ovu0-3..v1618408208.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\04801E3UVtxDTDY9ek1ovu0-3..v1618408208.jpg
13,511044bd81d91ab4a5599f3c4666c89c98c60510c0b0444eb910ac52372ec91e,phenomsg,Hazardous\Hazardous\e-waste\09109-scicon-lightbulbcxd - Copy.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\09109-scicon-lightbulbcxd - Copy.jpg
13,511044bd81d91ab4a5599f3c4666c89c98c60510c0b0444eb910ac52372ec91e,phenomsg,Hazardous\Hazardous\e-waste\09109-scicon-lightbulbcxd.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\09109-scicon-lightbulbcxd.jpg
14,5f1a6b6b8e469c589e2987655f43c6df3477bdd4fa90fbf95aff68c314084e24,phenomsg,Hazardous\Hazardous\e-waste\1-compact-fluorescent-bird-lamp-full-spectrum-lighting-bulb-2-4-original-imag9836wgsrnaev - Copy.jpeg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\1-compact-fluorescent-bird-lamp-full-spectrum-lighting-bulb-2-4-original-imag9836wgsrnaev - Copy.jpeg
14,5f1a6b6b8e469c589e2987655f43c6df3477bdd4fa90fbf95aff68c314084e24,phenomsg,Hazardous\Hazardous\e-waste\1-compact-fluorescent-bird-lamp-full-spectrum-lighting-bulb-2-4-original-imag9836wgsrnaev.jpeg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\1-compact-fluorescent-bird-lamp-full-spectrum-lighting-bulb-2-4-original-imag9836wgsrnaev.jpeg
15,9499f68a86a00cba524e678586e096ddc43845f396c7a7b20108827d47e2161f,phenomsg,Hazardous\Hazardous\e-waste\1-s2.0-S2352186421006970-gr4 - Copy.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\1-s2.0-S2352186421006970-gr4 - Copy.jpg
15,9499f68a86a00cba524e678586e096ddc43845f396c7a7b20108827d47e2161f,phenomsg,Hazardous\Hazardous\e-waste\1-s2.0-S2352186421006970-gr4.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\1-s2.0-S2352186421006970-gr4.jpg
16,b5e787296bfef2eb12dd4a99d7c36ea854f01ffcfe132815e1b78990ce29487b,phenomsg,Hazardous\Hazardous\e-waste\1000_F_137113944_B7B2w62hhwjr7dWy8R5nYwwlHIwCRu6S - Copy.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\1000_F_137113944_B7B2w62hhwjr7dWy8R5nYwwlHIwCRu6S - Copy.jpg
16,b5e787296bfef2eb12dd4a99d7c36ea854f01ffcfe132815e1b78990ce29487b,phenomsg,Hazardous\Hazardous\e-waste\1000_F_137113944_B7B2w62hhwjr7dWy8R5nYwwlHIwCRu6S.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\1000_F_137113944_B7B2w62hhwjr7dWy8R5nYwwlHIwCRu6S.jpg
17,3951f15be9c2e5253152ff8e7201eb5a931d11ea50d8cba5c8c960865e719f42,phenomsg,Hazardous\Hazardous\e-waste\1200px-Energiesparlampe_01_retouched - Copy.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\1200px-Energiesparlampe_01_retouched - Copy.jpg
17,3951f15be9c2e5253152ff8e7201eb5a931d11ea50d8cba5c8c960865e719f42,phenomsg,Hazardous\Hazardous\e-waste\1200px-Energiesparlampe_01_retouched.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\1200px-Energiesparlampe_01_retouched.jpg
18,5abfaa9fb0480eac49e7716f7fbf803b471635119254bed459601e99e6f416cd,phenomsg,Hazardous\Hazardous\e-waste\1200px-Ewaste-pile - Copy.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\1200px-Ewaste-pile - Copy.jpg
18,5abfaa9fb0480eac49e7716f7fbf803b471635119254bed459601e99e6f416cd,phenomsg,Hazardous\Hazardous\e-waste\1200px-Ewaste-pile.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\1200px-Ewaste-pile.jpg
19,37c5856a8ad2131cd07c6c9a52e1155e4530fe0862cf07fc1795ed7b7db5a10c,phenomsg,Hazardous\Hazardous\e-waste\1200px-Handy_schrott_mobile_phone_scrap - Copy.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\1200px-Handy_schrott_mobile_phone_scrap - Copy.jpg
19,37c5856a8ad2131cd07c6c9a52e1155e4530fe0862cf07fc1795ed7b7db5a10c,phenomsg,Hazardous\Hazardous\e-waste\1200px-Handy_schrott_mobile_phone_scrap.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\1200px-Handy_schrott_mobile_phone_scrap.jpg
20,38afe524a3e315ea454ac0904caf396f7b8896d6151378eb1624f55b897dcbde,phenomsg,Hazardous\Hazardous\e-waste\129249_iStock-636655004---Hero - Copy.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\129249_iStock-636655004---Hero - Copy.jpg
20,38afe524a3e315ea454ac0904caf396f7b8896d6151378eb1624f55b897dcbde,phenomsg,Hazardous\Hazardous\e-waste\129249_iStock-636655004---Hero.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\129249_iStock-636655004---Hero.jpg
21,ba498b531e372a06efcca77e537d3e9c6c6c12e16219dc31b8f13e718bba5ea9,phenomsg,Hazardous\Hazardous\e-waste\1464951746_U1GPlR_e-waste-IndiaBLO-870 - Copy.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\1464951746_U1GPlR_e-waste-IndiaBLO-870 - Copy.jpg
21,ba498b531e372a06efcca77e537d3e9c6c6c12e16219dc31b8f13e718bba5ea9,phenomsg,Hazardous\Hazardous\e-waste\1464951746_U1GPlR_e-waste-IndiaBLO-870.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\1464951746_U1GPlR_e-waste-IndiaBLO-870.jpg
22,5a73dcbe9aa0b80aae8f8d00899cb04eec8a0ca7e59d7c3f06be40f62c9a463a,phenomsg,Hazardous\Hazardous\e-waste\1507096064_kRvRf8_e-waste - Copy.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\1507096064_kRvRf8_e-waste - Copy.jpg
22,5a73dcbe9aa0b80aae8f8d00899cb04eec8a0ca7e59d7c3f06be40f62c9a463a,phenomsg,Hazardous\Hazardous\e-waste\1507096064_kRvRf8_e-waste.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\1507096064_kRvRf8_e-waste.jpg
23,757ec95e38fd3674aca25b1a3e42e3f5e2b466d7db9b9605fdd1c036d1188a53,phenomsg,Hazardous\Hazardous\e-waste\1521042165621 - Copy.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\1521042165621 - Copy.jpg
23,757ec95e38fd3674aca25b1a3e42e3f5e2b466d7db9b9605fdd1c036d1188a53,phenomsg,Hazardous\Hazardous\e-waste\1521042165621.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\1521042165621.jpg
24,c30225e1e46e50afb744c81f58c7f52d3140951ba219a01abb61faf6bf31a30d,phenomsg,Hazardous\Hazardous\e-waste\156050-wrdgfxdtvg-1615456453 - Copy.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\156050-wrdgfxdtvg-1615456453 - Copy.jpg
24,c30225e1e46e50afb744c81f58c7f52d3140951ba219a01abb61faf6bf31a30d,phenomsg,Hazardous\Hazardous\e-waste\156050-wrdgfxdtvg-1615456453.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\156050-wrdgfxdtvg-1615456453.jpg
25,2f62d3bca367db3ca9143b552aad8b1fbf2247d908173fa4ba8e438639459641,phenomsg,Hazardous\Hazardous\e-waste\17175 - Copy.jpeg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\17175 - Copy.jpeg
25,2f62d3bca367db3ca9143b552aad8b1fbf2247d908173fa4ba8e438639459641,phenomsg,Hazardous\Hazardous\e-waste\17175.jpeg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\17175.jpeg
26,d6065f90861384672e88a8e2edd66fdb32739ef90ef2d23c8518469b3b770cb6,phenomsg,Hazardous\Hazardous\e-waste\2020_8largeimg_799107359 - Copy.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\2020_8largeimg_799107359 - Copy.jpg
26,d6065f90861384672e88a8e2edd66fdb32739ef90ef2d23c8518469b3b770cb6,phenomsg,Hazardous\Hazardous\e-waste\2020_8largeimg_799107359.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\2020_8largeimg_799107359.jpg
27,1e85dbb37f0635d687892a08eaf495ce4f0eb6886243993eda3e47100a1127cb,phenomsg,Hazardous\Hazardous\e-waste\2050_E-Waste_Asian_Outlook_Web_title - Copy.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\2050_E-Waste_Asian_Outlook_Web_title - Copy.jpg
27,1e85dbb37f0635d687892a08eaf495ce4f0eb6886243993eda3e47100a1127cb,phenomsg,Hazardous\Hazardous\e-waste\2050_E-Waste_Asian_Outlook_Web_title.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\2050_E-Waste_Asian_Outlook_Web_title.jpg
28,08bca4b873e632375d258ec0a5e804fa80e89a0189d0d76a1ee4649670732e51,phenomsg,Hazardous\Hazardous\e-waste\20_20130315 - Copy.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\20_20130315 - Copy.jpg
28,08bca4b873e632375d258ec0a5e804fa80e89a0189d0d76a1ee4649670732e51,phenomsg,Hazardous\Hazardous\e-waste\20_20130315.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\20_20130315.jpg
29,82cf6b4bc4d9f54fb846cdd2d3472e89ba06e9f7708a28321e39bed28787ad96,phenomsg,Hazardous\Hazardous\e-waste\20f1f392-6d51-4fdb-a0a1-b6e0e837a57b.bc4be531fe04703066c45a302f6d7c0e - Copy.jpeg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\20f1f392-6d51-4fdb-a0a1-b6e0e837a57b.bc4be531fe04703066c45a302f6d7c0e - Copy.jpeg
29,82cf6b4bc4d9f54fb846cdd2d3472e89ba06e9f7708a28321e39bed28787ad96,phenomsg,Hazardous\Hazardous\e-waste\20f1f392-6d51-4fdb-a0a1-b6e0e837a57b.bc4be531fe04703066c45a302f6d7c0e.jpeg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\20f1f392-6d51-4fdb-a0a1-b6e0e837a57b.bc4be531fe04703066c45a302f6d7c0e.jpeg
30,58ab7b2bf0848d2a092f622083dc64d92a8bd433059f4f97b3080c429058f6de,phenomsg,Hazardous\Hazardous\e-waste\25896 - Copy.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\25896 - Copy.jpg
30,58ab7b2bf0848d2a092f622083dc64d92a8bd433059f4f97b3080c429058f6de,phenomsg,Hazardous\Hazardous\e-waste\25896.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\25896.jpg
31,3b3effc10696261c73abe436a67ee48cf3b7c32ec2d7d61533055698ae270383,phenomsg,Hazardous\Hazardous\e-waste\3283392878_d023c2ef93 - Copy.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\3283392878_d023c2ef93 - Copy.jpg
31,3b3effc10696261c73abe436a67ee48cf3b7c32ec2d7d61533055698ae270383,phenomsg,Hazardous\Hazardous\e-waste\3283392878_d023c2ef93.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\3283392878_d023c2ef93.jpg
32,ce35f0ae79f2f7e0dde739551b5037440c61e052f2da8c0bd817788a425a361f,phenomsg,Hazardous\Hazardous\e-waste\341a4407444002d51dff14946e857c65 - Copy.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\341a4407444002d51dff14946e857c65 - Copy.jpg
32,ce35f0ae79f2f7e0dde739551b5037440c61e052f2da8c0bd817788a425a361f,phenomsg,Hazardous\Hazardous\e-waste\341a4407444002d51dff14946e857c65.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\341a4407444002d51dff14946e857c65.jpg
33,96edf86e29161a549edeacadb2bb9f3e5c6a02c3c75c138bf491bc2d4198a3ad,phenomsg,Hazardous\Hazardous\e-waste\47-e-waste-a-growing-concern - Copy.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\47-e-waste-a-growing-concern - Copy.jpg
33,96edf86e29161a549edeacadb2bb9f3e5c6a02c3c75c138bf491bc2d4198a3ad,phenomsg,Hazardous\Hazardous\e-waste\47-e-waste-a-growing-concern.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\47-e-waste-a-growing-concern.jpg
34,fd68418ad7ac32f2c66949e8336ac3cc845e5fe7d658b858f4cabbedcfa5e6db,phenomsg,Hazardous\Hazardous\e-waste\516ee9d3b98a42557dc49476674823f0--e-waste-recycling-recycling-programs - Copy.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\516ee9d3b98a42557dc49476674823f0--e-waste-recycling-recycling-programs - Copy.jpg
34,fd68418ad7ac32f2c66949e8336ac3cc845e5fe7d658b858f4cabbedcfa5e6db,phenomsg,Hazardous\Hazardous\e-waste\516ee9d3b98a42557dc49476674823f0--e-waste-recycling-recycling-programs.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\516ee9d3b98a42557dc49476674823f0--e-waste-recycling-recycling-programs.jpg
35,7f87316d2d373221ba57d59e369b180f9e9a2304dfbafd10082689874fad2d48,phenomsg,Hazardous\Hazardous\e-waste\5927e3e4f1744da1ce90e7a09c175334 - Copy.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\5927e3e4f1744da1ce90e7a09c175334 - Copy.jpg
35,7f87316d2d373221ba57d59e369b180f9e9a2304dfbafd10082689874fad2d48,phenomsg,Hazardous\Hazardous\e-waste\5927e3e4f1744da1ce90e7a09c175334.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\5927e3e4f1744da1ce90e7a09c175334.jpg
36,c15e8f25426ed460a8b0646d22bc455acf9436c09356cfbdf60f33f0d81c5ba2,phenomsg,Hazardous\Hazardous\e-waste\5g-internet-race-huawei-04 - Copy.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\5g-internet-race-huawei-04 - Copy.jpg
36,c15e8f25426ed460a8b0646d22bc455acf9436c09356cfbdf60f33f0d81c5ba2,phenomsg,Hazardous\Hazardous\e-waste\5g-internet-race-huawei-04.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\5g-internet-race-huawei-04.jpg
37,33236a66009988639fd1fe8266e01632674d134dbbd937680c98bad8197cfad0,phenomsg,Hazardous\Hazardous\e-waste\615c6bf230f40d9decf916ae97e192681b20e27238a8ae30ccbab09630fd0a53 - Copy.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\615c6bf230f40d9decf916ae97e192681b20e27238a8ae30ccbab09630fd0a53 - Copy.jpg
37,33236a66009988639fd1fe8266e01632674d134dbbd937680c98bad8197cfad0,phenomsg,Hazardous\Hazardous\e-waste\615c6bf230f40d9decf916ae97e192681b20e27238a8ae30ccbab09630fd0a53.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\615c6bf230f40d9decf916ae97e192681b20e27238a8ae30ccbab09630fd0a53.jpg
38,fc033ab307999dbebb3d0663c92e93b63a353daacfd9a637374d4f4a918e4808,phenomsg,Hazardous\Hazardous\e-waste\6184AcGb9XL - Copy.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\6184AcGb9XL - Copy.jpg
38,fc033ab307999dbebb3d0663c92e93b63a353daacfd9a637374d4f4a918e4808,phenomsg,Hazardous\Hazardous\e-waste\6184AcGb9XL.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\6184AcGb9XL.jpg
39,3bea5a1919b9e65adb056b8e403a7fa70f1a47ca1f982fc20a13e82ba8f5d19e,phenomsg,Hazardous\Hazardous\e-waste\61DVdFF9f-L - Copy.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\61DVdFF9f-L - Copy.jpg
39,3bea5a1919b9e65adb056b8e403a7fa70f1a47ca1f982fc20a13e82ba8f5d19e,phenomsg,Hazardous\Hazardous\e-waste\61DVdFF9f-L.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Hazardous\Hazardous\e-waste\61DVdFF9f-L.jpg
