dataset,original_class,split,image_count,relative_path
ewaste,Keyboard,test,1,ewaste\test\Keyboard\Keyboard_128.jpg
ewaste,Keyboard,test,1,ewaste\test\Keyboard\Keyboard_148.jpg
ewaste,Keyboard,test,1,ewaste\test\Keyboard\Keyboard_152.jpg
ewaste,Keyboard,test,1,ewaste\test\Keyboard\Keyboard_174.jpg
ewaste,Keyboard,test,1,ewaste\test\Keyboard\Keyboard_177.jpg
ewaste,Keyboard,test,1,ewaste\test\Keyboard\Keyboard_190.jpg
ewaste,Keyboard,test,1,ewaste\test\Keyboard\Keyboard_192.jpg
ewaste,Keyboard,test,1,ewaste\test\Keyboard\Keyboard_211.jpg
ewaste,Keyboard,test,1,ewaste\test\Keyboard\Keyboard_22.jpg
ewaste,Keyboard,test,1,ewaste\test\Keyboard\Keyboard_24.jpg
ewaste,Keyboard,test,1,ewaste\test\Keyboard\Keyboard_241.jpg
ewaste,Keyboard,test,1,ewaste\test\Keyboard\Keyboard_242.jpg
ewaste,Keyboard,test,1,ewaste\test\Keyboard\Keyboard_251.jpg
ewaste,Keyboard,test,1,ewaste\test\Keyboard\Keyboard_259.jpg
ewaste,Keyboard,test,1,ewaste\test\Keyboard\Keyboard_260.jpg
ewaste,Keyboard,test,1,ewaste\test\Keyboard\Keyboard_264.jpg
ewaste,Keyboard,test,1,ewaste\test\Keyboard\Keyboard_266.jpg
ewaste,Keyboard,test,1,ewaste\test\Keyboard\Keyboard_267.jpg
ewaste,Keyboard,test,1,ewaste\test\Keyboard\Keyboard_275.jpg
ewaste,Keyboard,test,1,ewaste\test\Keyboard\Keyboard_279.jpg
ewaste,Keyboard,test,1,ewaste\test\Keyboard\Keyboard_282.jpg
ewaste,Keyboard,test,1,ewaste\test\Keyboard\Keyboard_284.jpg
ewaste,Keyboard,test,1,ewaste\test\Keyboard\Keyboard_294.jpg
ewaste,Keyboard,test,1,ewaste\test\Keyboard\Keyboard_4.jpg
ewaste,Keyboard,test,1,ewaste\test\Keyboard\Keyboard_40.jpg
ewaste,Keyboard,test,1,ewaste\test\Keyboard\Keyboard_61.jpg
ewaste,Keyboard,test,1,ewaste\test\Keyboard\Keyboard_75.jpg
ewaste,Keyboard,test,1,ewaste\test\Keyboard\Keyboard_83.jpg
ewaste,Keyboard,test,1,ewaste\test\Keyboard\Keyboard_92.jpg
ewaste,Microwave,test,1,ewaste\test\Microwave\Microwave_106.jpg
ewaste,Microwave,test,1,ewaste\test\Microwave\Microwave_128.jpg
ewaste,Microwave,test,1,ewaste\test\Microwave\Microwave_148.jpg
ewaste,Microwave,test,1,ewaste\test\Microwave\Microwave_152.jpg
ewaste,Microwave,test,1,ewaste\test\Microwave\Microwave_174.jpg
ewaste,Microwave,test,1,ewaste\test\Microwave\Microwave_177.jpg
ewaste,Microwave,test,1,ewaste\test\Microwave\Microwave_190.jpg
ewaste,Microwave,test,1,ewaste\test\Microwave\Microwave_192.jpg
ewaste,Microwave,test,1,ewaste\test\Microwave\Microwave_211.jpg
ewaste,Microwave,test,1,ewaste\test\Microwave\Microwave_22.jpg
ewaste,Microwave,test,1,ewaste\test\Microwave\Microwave_24.jpg
ewaste,Microwave,test,1,ewaste\test\Microwave\Microwave_241.jpg
ewaste,Microwave,test,1,ewaste\test\Microwave\Microwave_242.jpg
ewaste,Microwave,test,1,ewaste\test\Microwave\Microwave_251.jpg
ewaste,Microwave,test,1,ewaste\test\Microwave\Microwave_259.jpg
ewaste,Microwave,test,1,ewaste\test\Microwave\Microwave_260.jpg
ewaste,Microwave,test,1,ewaste\test\Microwave\Microwave_264.jpg
ewaste,Microwave,test,1,ewaste\test\Microwave\Microwave_266.jpg
ewaste,Microwave,test,1,ewaste\test\Microwave\Microwave_267.jpg
ewaste,Microwave,test,1,ewaste\test\Microwave\Microwave_275.jpg
ewaste,Microwave,test,1,ewaste\test\Microwave\Microwave_279.jpg
ewaste,Microwave,test,1,ewaste\test\Microwave\Microwave_282.jpg
ewaste,Microwave,test,1,ewaste\test\Microwave\Microwave_284.jpg
ewaste,Microwave,test,1,ewaste\test\Microwave\Microwave_294.jpg
ewaste,Microwave,test,1,ewaste\test\Microwave\Microwave_4.jpg
ewaste,Microwave,test,1,ewaste\test\Microwave\Microwave_40.jpg
ewaste,Microwave,test,1,ewaste\test\Microwave\Microwave_61.jpg
ewaste,Microwave,test,1,ewaste\test\Microwave\Microwave_75.jpg
ewaste,Microwave,test,1,ewaste\test\Microwave\Microwave_83.jpg
ewaste,Microwave,test,1,ewaste\test\Microwave\Microwave_92.jpg
ewaste,Mobile,test,1,ewaste\test\Mobile\Mobile_106.jpg
ewaste,Mobile,test,1,ewaste\test\Mobile\Mobile_128.jpg
ewaste,Mobile,test,1,ewaste\test\Mobile\Mobile_148.jpg
ewaste,Mobile,test,1,ewaste\test\Mobile\Mobile_152.jpg
ewaste,Mobile,test,1,ewaste\test\Mobile\Mobile_174.jpg
ewaste,Mobile,test,1,ewaste\test\Mobile\Mobile_177.jpg
ewaste,Mobile,test,1,ewaste\test\Mobile\Mobile_190.jpg
ewaste,Mobile,test,1,ewaste\test\Mobile\Mobile_192.jpg
ewaste,Mobile,test,1,ewaste\test\Mobile\Mobile_211.jpg
ewaste,Mobile,test,1,ewaste\test\Mobile\Mobile_22.jpg
ewaste,Mobile,test,1,ewaste\test\Mobile\Mobile_24.jpg
ewaste,Mobile,test,1,ewaste\test\Mobile\Mobile_241.jpg
ewaste,Mobile,test,1,ewaste\test\Mobile\Mobile_242.jpg
ewaste,Mobile,test,1,ewaste\test\Mobile\Mobile_251.jpg
ewaste,Mobile,test,1,ewaste\test\Mobile\Mobile_259.jpg
ewaste,Mobile,test,1,ewaste\test\Mobile\Mobile_260.jpg
ewaste,Mobile,test,1,ewaste\test\Mobile\Mobile_264.jpg
ewaste,Mobile,test,1,ewaste\test\Mobile\Mobile_266.jpg
ewaste,Mobile,test,1,ewaste\test\Mobile\Mobile_267.jpg
ewaste,Mobile,test,1,ewaste\test\Mobile\Mobile_275.jpg
ewaste,Mobile,test,1,ewaste\test\Mobile\Mobile_279.jpg
ewaste,Mobile,test,1,ewaste\test\Mobile\Mobile_282.jpg
ewaste,Mobile,test,1,ewaste\test\Mobile\Mobile_284.jpg
ewaste,Mobile,test,1,ewaste\test\Mobile\Mobile_294.jpg
ewaste,Mobile,test,1,ewaste\test\Mobile\Mobile_4.jpg
ewaste,Mobile,test,1,ewaste\test\Mobile\Mobile_40.jpg
ewaste,Mobile,test,1,ewaste\test\Mobile\Mobile_61.jpg
ewaste,Mobile,test,1,ewaste\test\Mobile\Mobile_75.jpg
ewaste,Mobile,test,1,ewaste\test\Mobile\Mobile_83.jpg
ewaste,Mobile,test,1,ewaste\test\Mobile\Mobile_92.jpg
ewaste,Mouse,test,1,ewaste\test\Mouse\Mouse_106.jpg
ewaste,Mouse,test,1,ewaste\test\Mouse\Mouse_128.jpg
ewaste,Mouse,test,1,ewaste\test\Mouse\Mouse_148.jpg
ewaste,Mouse,test,1,ewaste\test\Mouse\Mouse_152.jpg
ewaste,Mouse,test,1,ewaste\test\Mouse\Mouse_174.jpg
ewaste,Mouse,test,1,ewaste\test\Mouse\Mouse_177.jpg
ewaste,Mouse,test,1,ewaste\test\Mouse\Mouse_190.jpg
ewaste,Mouse,test,1,ewaste\test\Mouse\Mouse_192.jpg
ewaste,Mouse,test,1,ewaste\test\Mouse\Mouse_211.jpg
ewaste,Mouse,test,1,ewaste\test\Mouse\Mouse_22.jpg
ewaste,Mouse,test,1,ewaste\test\Mouse\Mouse_24.jpg
ewaste,Mouse,test,1,ewaste\test\Mouse\Mouse_241.jpg
ewaste,Mouse,test,1,ewaste\test\Mouse\Mouse_242.jpg
ewaste,Mouse,test,1,ewaste\test\Mouse\Mouse_251.jpg
ewaste,Mouse,test,1,ewaste\test\Mouse\Mouse_259.jpg
ewaste,Mouse,test,1,ewaste\test\Mouse\Mouse_260.jpg
ewaste,Mouse,test,1,ewaste\test\Mouse\Mouse_264.jpg
ewaste,Mouse,test,1,ewaste\test\Mouse\Mouse_266.jpg
ewaste,Mouse,test,1,ewaste\test\Mouse\Mouse_267.jpg
ewaste,Mouse,test,1,ewaste\test\Mouse\Mouse_275.jpg
ewaste,Mouse,test,1,ewaste\test\Mouse\Mouse_279.jpg
ewaste,Mouse,test,1,ewaste\test\Mouse\Mouse_282.jpg
ewaste,Mouse,test,1,ewaste\test\Mouse\Mouse_284.jpg
ewaste,Mouse,test,1,ewaste\test\Mouse\Mouse_294.jpg
ewaste,Mouse,test,1,ewaste\test\Mouse\Mouse_4.jpg
ewaste,Mouse,test,1,ewaste\test\Mouse\Mouse_40.jpg
ewaste,Mouse,test,1,ewaste\test\Mouse\Mouse_61.jpg
ewaste,Mouse,test,1,ewaste\test\Mouse\Mouse_75.jpg
ewaste,Mouse,test,1,ewaste\test\Mouse\Mouse_83.jpg
ewaste,Mouse,test,1,ewaste\test\Mouse\Mouse_92.jpg
ewaste,PCB,test,1,ewaste\test\PCB\pcb_106.jpg
ewaste,PCB,test,1,ewaste\test\PCB\pcb_128.jpg
ewaste,PCB,test,1,ewaste\test\PCB\pcb_148.jpg
ewaste,PCB,test,1,ewaste\test\PCB\pcb_152.jpg
ewaste,PCB,test,1,ewaste\test\PCB\pcb_174.jpg
ewaste,PCB,test,1,ewaste\test\PCB\pcb_177.jpg
ewaste,PCB,test,1,ewaste\test\PCB\pcb_190.jpg
ewaste,PCB,test,1,ewaste\test\PCB\pcb_192.jpg
ewaste,PCB,test,1,ewaste\test\PCB\pcb_211.jpg
ewaste,PCB,test,1,ewaste\test\PCB\pcb_22.jpg
ewaste,PCB,test,1,ewaste\test\PCB\pcb_24.jpg
ewaste,PCB,test,1,ewaste\test\PCB\pcb_241.jpg
ewaste,PCB,test,1,ewaste\test\PCB\pcb_242.jpg
ewaste,PCB,test,1,ewaste\test\PCB\pcb_251.jpg
ewaste,PCB,test,1,ewaste\test\PCB\pcb_259.jpg
ewaste,PCB,test,1,ewaste\test\PCB\pcb_260.jpg
ewaste,PCB,test,1,ewaste\test\PCB\pcb_264.jpg
ewaste,PCB,test,1,ewaste\test\PCB\pcb_266.jpg
ewaste,PCB,test,1,ewaste\test\PCB\pcb_267.jpg
ewaste,PCB,test,1,ewaste\test\PCB\pcb_275.jpg
ewaste,PCB,test,1,ewaste\test\PCB\pcb_279.jpg
ewaste,PCB,test,1,ewaste\test\PCB\pcb_282.jpg
ewaste,PCB,test,1,ewaste\test\PCB\pcb_284.jpg
ewaste,PCB,test,1,ewaste\test\PCB\pcb_294.jpg
ewaste,PCB,test,1,ewaste\test\PCB\pcb_4.jpg
ewaste,PCB,test,1,ewaste\test\PCB\pcb_40.jpg
ewaste,PCB,test,1,ewaste\test\PCB\pcb_61.jpg
ewaste,PCB,test,1,ewaste\test\PCB\pcb_75.jpg
ewaste,PCB,test,1,ewaste\test\PCB\pcb_83.jpg
ewaste,PCB,test,1,ewaste\test\PCB\pcb_92.jpg
ewaste,Player,test,1,ewaste\test\Player\Player_106.jpg
ewaste,Player,test,1,ewaste\test\Player\Player_128.jpg
ewaste,Player,test,1,ewaste\test\Player\Player_148.jpg
ewaste,Player,test,1,ewaste\test\Player\Player_152.jpg
ewaste,Player,test,1,ewaste\test\Player\Player_174.jpg
ewaste,Player,test,1,ewaste\test\Player\Player_177.jpg
ewaste,Player,test,1,ewaste\test\Player\Player_190.jpg
ewaste,Player,test,1,ewaste\test\Player\Player_192.jpg
ewaste,Player,test,1,ewaste\test\Player\Player_211.jpg
ewaste,Player,test,1,ewaste\test\Player\Player_22.jpg
ewaste,Player,test,1,ewaste\test\Player\Player_24.jpg
ewaste,Player,test,1,ewaste\test\Player\Player_241.jpg
ewaste,Player,test,1,ewaste\test\Player\Player_242.jpg
ewaste,Player,test,1,ewaste\test\Player\Player_251.jpg
ewaste,Player,test,1,ewaste\test\Player\Player_259.jpg
ewaste,Player,test,1,ewaste\test\Player\Player_260.jpg
ewaste,Player,test,1,ewaste\test\Player\Player_264.jpg
ewaste,Player,test,1,ewaste\test\Player\Player_266.jpg
ewaste,Player,test,1,ewaste\test\Player\Player_267.jpg
ewaste,Player,test,1,ewaste\test\Player\Player_275.jpg
ewaste,Player,test,1,ewaste\test\Player\Player_279.jpg
ewaste,Player,test,1,ewaste\test\Player\Player_282.jpg
ewaste,Player,test,1,ewaste\test\Player\Player_284.jpg
ewaste,Player,test,1,ewaste\test\Player\Player_294.jpg
ewaste,Player,test,1,ewaste\test\Player\Player_4.jpg
ewaste,Player,test,1,ewaste\test\Player\Player_40.jpg
ewaste,Player,test,1,ewaste\test\Player\Player_61.jpg
ewaste,Player,test,1,ewaste\test\Player\Player_75.jpg
ewaste,Player,test,1,ewaste\test\Player\Player_83.jpg
ewaste,Player,test,1,ewaste\test\Player\Player_92.jpg
ewaste,Printer,test,1,ewaste\test\Printer\Printer_106.jpg
ewaste,Printer,test,1,ewaste\test\Printer\Printer_128.jpg
ewaste,Printer,test,1,ewaste\test\Printer\Printer_148.jpg
ewaste,Printer,test,1,ewaste\test\Printer\Printer_152.jpg
ewaste,Printer,test,1,ewaste\test\Printer\Printer_174.jpg
ewaste,Printer,test,1,ewaste\test\Printer\Printer_177.jpg
ewaste,Printer,test,1,ewaste\test\Printer\Printer_190.jpg
ewaste,Printer,test,1,ewaste\test\Printer\Printer_192.jpg
ewaste,Printer,test,1,ewaste\test\Printer\Printer_211.jpg
ewaste,Printer,test,1,ewaste\test\Printer\Printer_22.jpg
ewaste,Printer,test,1,ewaste\test\Printer\Printer_24.jpg
ewaste,Printer,test,1,ewaste\test\Printer\Printer_241.jpg
ewaste,Printer,test,1,ewaste\test\Printer\Printer_242.jpg
ewaste,Printer,test,1,ewaste\test\Printer\Printer_251.jpg
ewaste,Printer,test,1,ewaste\test\Printer\Printer_259.jpg
ewaste,Printer,test,1,ewaste\test\Printer\Printer_260.jpg
ewaste,Printer,test,1,ewaste\test\Printer\Printer_264.jpg
ewaste,Printer,test,1,ewaste\test\Printer\Printer_266.jpg
ewaste,Printer,test,1,ewaste\test\Printer\Printer_267.jpg
ewaste,Printer,test,1,ewaste\test\Printer\Printer_275.jpg
ewaste,Printer,test,1,ewaste\test\Printer\Printer_279.jpg
ewaste,Printer,test,1,ewaste\test\Printer\Printer_282.jpg
ewaste,Printer,test,1,ewaste\test\Printer\Printer_284.jpg
ewaste,Printer,test,1,ewaste\test\Printer\Printer_294.jpg
ewaste,Printer,test,1,ewaste\test\Printer\Printer_4.jpg
ewaste,Printer,test,1,ewaste\test\Printer\Printer_40.jpg
ewaste,Printer,test,1,ewaste\test\Printer\Printer_61.jpg
ewaste,Printer,test,1,ewaste\test\Printer\Printer_75.jpg
ewaste,Printer,test,1,ewaste\test\Printer\Printer_83.jpg
ewaste,Printer,test,1,ewaste\test\Printer\Printer_92.jpg
ewaste,Television,test,1,ewaste\test\Television\Television_106.jpg
ewaste,Television,test,1,ewaste\test\Television\Television_128.jpg
ewaste,Television,test,1,ewaste\test\Television\Television_148.jpg
ewaste,Television,test,1,ewaste\test\Television\Television_152.jpg
ewaste,Television,test,1,ewaste\test\Television\Television_174.jpg
ewaste,Television,test,1,ewaste\test\Television\Television_177.jpg
ewaste,Television,test,1,ewaste\test\Television\Television_190.jpg
ewaste,Television,test,1,ewaste\test\Television\Television_192.jpg
ewaste,Television,test,1,ewaste\test\Television\Television_211.jpg
ewaste,Television,test,1,ewaste\test\Television\Television_22.jpg
ewaste,Television,test,1,ewaste\test\Television\Television_24.jpg
ewaste,Television,test,1,ewaste\test\Television\Television_241.jpg
ewaste,Television,test,1,ewaste\test\Television\Television_242.jpg
ewaste,Television,test,1,ewaste\test\Television\Television_251.jpg
ewaste,Television,test,1,ewaste\test\Television\Television_259.jpg
ewaste,Television,test,1,ewaste\test\Television\Television_260.jpg
ewaste,Television,test,1,ewaste\test\Television\Television_264.jpg
ewaste,Television,test,1,ewaste\test\Television\Television_266.jpg
ewaste,Television,test,1,ewaste\test\Television\Television_267.jpg
ewaste,Television,test,1,ewaste\test\Television\Television_275.jpg
ewaste,Television,test,1,ewaste\test\Television\Television_279.jpg
ewaste,Television,test,1,ewaste\test\Television\Television_282.jpg
ewaste,Television,test,1,ewaste\test\Television\Television_284.jpg
ewaste,Television,test,1,ewaste\test\Television\Television_294.jpg
ewaste,Television,test,1,ewaste\test\Television\Television_4.jpg
ewaste,Television,test,1,ewaste\test\Television\Television_40.jpg
ewaste,Television,test,1,ewaste\test\Television\Television_61.jpg
ewaste,Television,test,1,ewaste\test\Television\Television_75.jpg
ewaste,Television,test,1,ewaste\test\Television\Television_83.jpg
ewaste,Television,test,1,ewaste\test\Television\Television_92.jpg
ewaste,Washing Machine,test,1,ewaste\test\Washing Machine\Washing_Machine_106.jpg
ewaste,Washing Machine,test,1,ewaste\test\Washing Machine\Washing_Machine_128.jpg
ewaste,Washing Machine,test,1,ewaste\test\Washing Machine\Washing_Machine_148.jpg
ewaste,Washing Machine,test,1,ewaste\test\Washing Machine\Washing_Machine_152.jpg
ewaste,Washing Machine,test,1,ewaste\test\Washing Machine\Washing_Machine_174.jpg
ewaste,Washing Machine,test,1,ewaste\test\Washing Machine\Washing_Machine_177.jpg
ewaste,Washing Machine,test,1,ewaste\test\Washing Machine\Washing_Machine_190.jpg
ewaste,Washing Machine,test,1,ewaste\test\Washing Machine\Washing_Machine_192.jpg
ewaste,Washing Machine,test,1,ewaste\test\Washing Machine\Washing_Machine_211.jpg
ewaste,Washing Machine,test,1,ewaste\test\Washing Machine\Washing_Machine_22.jpg
ewaste,Washing Machine,test,1,ewaste\test\Washing Machine\Washing_Machine_24.jpg
ewaste,Washing Machine,test,1,ewaste\test\Washing Machine\Washing_Machine_241.jpg
ewaste,Washing Machine,test,1,ewaste\test\Washing Machine\Washing_Machine_242.jpg
ewaste,Washing Machine,test,1,ewaste\test\Washing Machine\Washing_Machine_251.jpg
ewaste,Washing Machine,test,1,ewaste\test\Washing Machine\Washing_Machine_259.jpg
ewaste,Washing Machine,test,1,ewaste\test\Washing Machine\Washing_Machine_260.jpg
ewaste,Washing Machine,test,1,ewaste\test\Washing Machine\Washing_Machine_264.jpg
ewaste,Washing Machine,test,1,ewaste\test\Washing Machine\Washing_Machine_266.jpg
ewaste,Washing Machine,test,1,ewaste\test\Washing Machine\Washing_Machine_267.jpg
ewaste,Washing Machine,test,1,ewaste\test\Washing Machine\Washing_Machine_275.jpg
ewaste,Washing Machine,test,1,ewaste\test\Washing Machine\Washing_Machine_279.jpg
ewaste,Washing Machine,test,1,ewaste\test\Washing Machine\Washing_Machine_282.jpg
ewaste,Washing Machine,test,1,ewaste\test\Washing Machine\Washing_Machine_284.jpg
ewaste,Washing Machine,test,1,ewaste\test\Washing Machine\Washing_Machine_294.jpg
ewaste,Washing Machine,test,1,ewaste\test\Washing Machine\Washing_Machine_4.jpg
ewaste,Washing Machine,test,1,ewaste\test\Washing Machine\Washing_Machine_40.jpg
ewaste,Washing Machine,test,1,ewaste\test\Washing Machine\Washing_Machine_61.jpg
ewaste,Washing Machine,test,1,ewaste\test\Washing Machine\Washing_Machine_75.jpg
ewaste,Washing Machine,test,1,ewaste\test\Washing Machine\Washing_Machine_83.jpg
ewaste,Washing Machine,test,1,ewaste\test\Washing Machine\Washing_Machine_92.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_0.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_1.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_10.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_100.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_101.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_102.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_104.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_107.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_109.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_11.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_110.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_111.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_112.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_113.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_114.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_115.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_116.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_117.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_119.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_12.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_120.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_121.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_123.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_124.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_125.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_126.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_127.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_13.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_131.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_132.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_133.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_134.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_135.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_136.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_137.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_138.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_139.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_14.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_140.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_141.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_142.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_143.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_144.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_145.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_149.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_15.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_151.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_153.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_154.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_155.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_156.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_157.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_158.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_159.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_16.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_160.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_161.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_162.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_163.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_164.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_165.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_166.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_167.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_168.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_17.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_170.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_171.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_172.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_173.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_175.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_176.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_178.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_179.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_18.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_180.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_181.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_182.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_183.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_184.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_185.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_186.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_187.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_188.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_19.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_191.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_193.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_194.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_195.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_196.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_197.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_199.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_2.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_20.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_200.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_201.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_202.jpg
ewaste,Battery,train,1,ewaste\train\Battery\battery_203.jpg
