hamming_distance,dataset_a,file_a,path_a,dataset_b,file_b,path_b
10,realwaste,Metal\Metal_643.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Metal\Metal_643.jpg,realwaste,Plastic\Plastic_234.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Plastic\Plastic_234.jpg
10,realwaste,Miscellaneous Trash\Miscellaneous Trash_323.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Miscellaneous Trash\Miscellaneous Trash_323.jpg,realwaste,Textile Trash\Textile Trash_35.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Textile Trash\Textile Trash_35.jpg
8,ewaste,train\Television\Television_2.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\ewaste\train\Television\Television_2.jpg,realwaste,Metal\Metal_770.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Metal\Metal_770.jpg
8,realwaste,Miscellaneous Trash\Miscellaneous Trash_232.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Miscellaneous Trash\Miscellaneous Trash_232.jpg,realwaste,Miscellaneous Trash\Miscellaneous Trash_75.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Miscellaneous Trash\Miscellaneous Trash_75.jpg
10,realwaste,Miscellaneous Trash\Miscellaneous Trash_224.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Miscellaneous Trash\Miscellaneous Trash_224.jpg,trashnet,metal\metal186.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\trashnet\metal\metal186.jpg
10,realwaste,Miscellaneous Trash\Miscellaneous Trash_418.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Miscellaneous Trash\Miscellaneous Trash_418.jpg,realwaste,Plastic\Plastic_69.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Plastic\Plastic_69.jpg
8,realwaste,Metal\Metal_524.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Metal\Metal_524.jpg,realwaste,Plastic\Plastic_458.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Plastic\Plastic_458.jpg
10,ewaste,train\Mouse\Mouse_153.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\ewaste\train\Mouse\Mouse_153.jpg,realwaste,Metal\Metal_400.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Metal\Metal_400.jpg
8,realwaste,Food Organics\Food Organics_62.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Food Organics\Food Organics_62.jpg,realwaste,Metal\Metal_33.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Metal\Metal_33.jpg
8,realwaste,Plastic\Plastic_205.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Plastic\Plastic_205.jpg,trashnet,glass\glass454.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\trashnet\glass\glass454.jpg
10,realwaste,Metal\Metal_643.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Metal\Metal_643.jpg,realwaste,Textile Trash\Textile Trash_213.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Textile Trash\Textile Trash_213.jpg
10,ewaste,test\Washing Machine\Washing_Machine_152.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\ewaste\test\Washing Machine\Washing_Machine_152.jpg,ewaste,train\Washing Machine\Washing_Machine_145.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\ewaste\train\Washing Machine\Washing_Machine_145.jpg
10,ewaste,train\Player\Player_107.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\ewaste\train\Player\Player_107.jpg,trashnet,metal\metal185.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\trashnet\metal\metal185.jpg
8,realwaste,Glass\Glass_309.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Glass\Glass_309.jpg,realwaste,Miscellaneous Trash\Miscellaneous Trash_212.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Miscellaneous Trash\Miscellaneous Trash_212.jpg
8,realwaste,Food Organics\Food Organics_143.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Food Organics\Food Organics_143.jpg,realwaste,Food Organics\Food Organics_77.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Food Organics\Food Organics_77.jpg
10,realwaste,Metal\Metal_407.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Metal\Metal_407.jpg,realwaste,Plastic\Plastic_883.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Plastic\Plastic_883.jpg
10,ewaste,test\Washing Machine\Washing_Machine_152.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\ewaste\test\Washing Machine\Washing_Machine_152.jpg,realwaste,Plastic\Plastic_313.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Plastic\Plastic_313.jpg
8,realwaste,Metal\Metal_168.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Metal\Metal_168.jpg,realwaste,Paper\Paper_489.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Paper\Paper_489.jpg
8,trashnet,plastic\plastic157.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\trashnet\plastic\plastic157.jpg,trashnet,plastic\plastic57.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\trashnet\plastic\plastic57.jpg
10,realwaste,Plastic\Plastic_221.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Plastic\Plastic_221.jpg,trashnet,metal\metal152.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\trashnet\metal\metal152.jpg
8,realwaste,Paper\Paper_432.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Paper\Paper_432.jpg,trashnet,plastic\plastic28.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\trashnet\plastic\plastic28.jpg
8,realwaste,Glass\Glass_123.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Glass\Glass_123.jpg,trashnet,metal\metal340.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\trashnet\metal\metal340.jpg
10,realwaste,Plastic\Plastic_23.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Plastic\Plastic_23.jpg,realwaste,Plastic\Plastic_479.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Plastic\Plastic_479.jpg
10,realwaste,Cardboard\Cardboard_330.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Cardboard\Cardboard_330.jpg,realwaste,Paper\Paper_66.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Paper\Paper_66.jpg
8,realwaste,Plastic\Plastic_416.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Plastic\Plastic_416.jpg,realwaste,Textile Trash\Textile Trash_201.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Textile Trash\Textile Trash_201.jpg
10,realwaste,Plastic\Plastic_404.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Plastic\Plastic_404.jpg,realwaste,Plastic\Plastic_405.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Plastic\Plastic_405.jpg
10,realwaste,Glass\Glass_407.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Glass\Glass_407.jpg,realwaste,Metal\Metal_646.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Metal\Metal_646.jpg
8,realwaste,Plastic\Plastic_100.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Plastic\Plastic_100.jpg,realwaste,Plastic\Plastic_85.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Plastic\Plastic_85.jpg
8,realwaste,Metal\Metal_253.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Metal\Metal_253.jpg,trashnet,metal\metal182.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\trashnet\metal\metal182.jpg
10,realwaste,Plastic\Plastic_216.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Plastic\Plastic_216.jpg,trashnet,metal\metal6.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\trashnet\metal\metal6.jpg
10,realwaste,Vegetation\Vegetation_334.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Vegetation\Vegetation_334.jpg,trashnet,plastic\plastic8.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\trashnet\plastic\plastic8.jpg
10,realwaste,Plastic\Plastic_468.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Plastic\Plastic_468.jpg,trashnet,paper\paper334.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\trashnet\paper\paper334.jpg
10,realwaste,Metal\Metal_562.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Metal\Metal_562.jpg,realwaste,Miscellaneous Trash\Miscellaneous Trash_401.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Miscellaneous Trash\Miscellaneous Trash_401.jpg
10,realwaste,Cardboard\Cardboard_223.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Cardboard\Cardboard_223.jpg,realwaste,Plastic\Plastic_638.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Plastic\Plastic_638.jpg
8,realwaste,Miscellaneous Trash\Miscellaneous Trash_209.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Miscellaneous Trash\Miscellaneous Trash_209.jpg,realwaste,Paper\Paper_330.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Paper\Paper_330.jpg
10,realwaste,Food Organics\Food Organics_111.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Food Organics\Food Organics_111.jpg,trashnet,plastic\plastic452.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\trashnet\plastic\plastic452.jpg
10,ewaste,train\Battery\battery_227.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\ewaste\train\Battery\battery_227.jpg,realwaste,Metal\Metal_652.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Metal\Metal_652.jpg
10,realwaste,Food Organics\Food Organics_141.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Food Organics\Food Organics_141.jpg,realwaste,Plastic\Plastic_695.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Plastic\Plastic_695.jpg
10,realwaste,Cardboard\Cardboard_174.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Cardboard\Cardboard_174.jpg,realwaste,Paper\Paper_82.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Paper\Paper_82.jpg
8,realwaste,Plastic\Plastic_84.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Plastic\Plastic_84.jpg,trashnet,cardboard\cardboard132.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\trashnet\cardboard\cardboard132.jpg
8,realwaste,Glass\Glass_386.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Glass\Glass_386.jpg,realwaste,Textile Trash\Textile Trash_185.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Textile Trash\Textile Trash_185.jpg
10,realwaste,Paper\Paper_258.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Paper\Paper_258.jpg,realwaste,Plastic\Plastic_102.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Plastic\Plastic_102.jpg
10,realwaste,Glass\Glass_307.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Glass\Glass_307.jpg,realwaste,Plastic\Plastic_356.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Plastic\Plastic_356.jpg
10,trashnet,glass\glass203.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\trashnet\glass\glass203.jpg,trashnet,glass\glass222.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\trashnet\glass\glass222.jpg
10,realwaste,Metal\Metal_372.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Metal\Metal_372.jpg,realwaste,Plastic\Plastic_728.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Plastic\Plastic_728.jpg
8,phenomsg,Non-Recyclable\Non-Recyclable\platics_bags_wrappers\grocery-plastics-9_slide-709f9469bb300475d6ea6c2038892268a68a2bf0.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\phenomsg\Non-Recyclable\Non-Recyclable\platics_bags_wrappers\grocery-plastics-9_slide-709f9469bb300475d6ea6c2038892268a68a2bf0.jpg,realwaste,Paper\Paper_326.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Paper\Paper_326.jpg
8,realwaste,Metal\Metal_232.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Metal\Metal_232.jpg,realwaste,Metal\Metal_27.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Metal\Metal_27.jpg
10,realwaste,Plastic\Plastic_85.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Plastic\Plastic_85.jpg,trashnet,trash\trash128.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\trashnet\trash\trash128.jpg
10,realwaste,Plastic\Plastic_258.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Plastic\Plastic_258.jpg,realwaste,Textile Trash\Textile Trash_4.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Textile Trash\Textile Trash_4.jpg
10,realwaste,Miscellaneous Trash\Miscellaneous Trash_80.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Miscellaneous Trash\Miscellaneous Trash_80.jpg,trashnet,glass\glass6.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\trashnet\glass\glass6.jpg
8,realwaste,Metal\Metal_546.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Metal\Metal_546.jpg,realwaste,Metal\Metal_549.jpg,C:\Users\trish\Desktop\smart-waste-segregation-ai\data\raw\realwaste\Metal\Metal_549.jpg
