leakage_group,image_count,split,datasets,unified_classes,has_exact_duplicate,has_near_duplicate
GROUP_00058,1,val,realwaste,Glass,False,False
GROUP_00059,1,train,realwaste,Paper,False,False
GROUP_00060,1,val,trashnet,Paper,False,False
GROUP_00061,1,test,realwaste,Residual,False,False
GROUP_00062,1,train,ewaste,Electronic Device,False,False
GROUP_00063,2,train,phenomsg,Hazardous Waste,True,True
GROUP_00064,1,test,trashnet,Glass,False,False
GROUP_00065,1,train,ewaste,Electronic Device,False,False
GROUP_00066,1,train,phenomsg,Residual,False,False
GROUP_00067,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_00068,1,test,realwaste,Paper,False,False
GROUP_00069,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_00070,1,val,trashnet,Paper,False,False
GROUP_00071,1,train,phenomsg,Residual,False,False
GROUP_00072,2,train,ewaste,Electronic Device,True,True
GROUP_00073,1,train,realwaste,Vegetation,False,False
GROUP_00074,1,train,phenomsg,Organic Stream,False,False
GROUP_00075,1,test,ewaste,Electronic Device,False,False
GROUP_00076,1,test,phenomsg,Organic Stream,False,False
GROUP_00077,1,test,realwaste,Metal,False,False
GROUP_00078,1,train,realwaste,Plastic,False,False
GROUP_00079,1,train,trashnet,Glass,False,False
GROUP_00080,1,train,ewaste,Electronic Device,False,False
GROUP_00081,1,train,trashnet,Plastic,False,False
GROUP_00082,1,test,phenomsg,Organic Stream,False,False
GROUP_00083,1,train,realwaste,Paper,False,False
GROUP_00084,1,train,trashnet,Paper,False,False
GROUP_00085,1,train,ewaste,Electronic Device,False,False
GROUP_00086,1,train,trashnet,Paper,False,False
GROUP_00087,1,val,realwaste,Glass,False,False
GROUP_00088,1,val,ewaste,Electronic Device,False,False
GROUP_00089,1,test,phenomsg,Residual,False,False
GROUP_00090,1,test,ewaste,Electronic Device,False,False
GROUP_00091,1,train,trashnet,Cardboard,False,False
GROUP_00092,1,train,realwaste,Vegetation,False,False
GROUP_00093,1,train,trashnet,Glass,False,False
GROUP_00094,1,train,phenomsg,Organic Stream,False,False
GROUP_00095,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_00096,1,train,phenomsg,Hazardous Waste,False,False
GROUP_00097,1,train,realwaste,Vegetation,False,False
GROUP_00098,1,train,realwaste,Plastic,False,False
GROUP_00099,1,train,phenomsg,Organic Stream,False,False
GROUP_00100,1,train,ewaste,Electronic Device,False,False
GROUP_00101,1,test,trashnet,Cardboard,False,False
GROUP_00102,1,train,trashnet,Glass,False,False
GROUP_00103,1,train,trashnet,Paper,False,False
GROUP_00104,1,train,phenomsg,Hazardous Waste,False,False
GROUP_00105,1,train,realwaste,Paper,False,False
GROUP_00106,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_00107,1,train,realwaste,Cardboard,False,False
GROUP_00108,1,val,realwaste,Metal,False,False
GROUP_00109,1,train,realwaste,Textile,False,False
GROUP_00110,1,train,realwaste,Food Organics,False,False
GROUP_00111,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_00112,1,train,phenomsg,Organic Stream,False,False
GROUP_00113,1,val,realwaste,Plastic,False,False
GROUP_00114,1,train,realwaste,Vegetation,False,False
GROUP_00115,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_00116,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_00117,2,train,phenomsg,Hazardous Waste,True,True
GROUP_00118,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_00119,1,train,realwaste,Textile,False,False
GROUP_00120,1,train,phenomsg,Organic Stream,False,False
GROUP_00121,1,test,realwaste,Food Organics,False,False
GROUP_00122,1,train,realwaste,Plastic,False,False
GROUP_00123,1,test,realwaste,Cardboard,False,False
GROUP_00124,1,test,ewaste,Electronic Component,False,False
GROUP_00125,1,train,phenomsg,Residual,False,False
GROUP_00126,1,test,realwaste,Metal,False,False
GROUP_00127,1,train,phenomsg,Hazardous Waste,False,False
GROUP_00128,1,test,phenomsg,Residual,False,False
GROUP_00129,1,train,realwaste,Paper,False,False
GROUP_00130,1,train,phenomsg,Hazardous Waste,False,False
GROUP_00131,1,train,realwaste,Paper,False,False
GROUP_00132,2,train,realwaste,Metal|Plastic,False,True
GROUP_00133,1,train,phenomsg,Recyclable Stream,False,False
GROUP_00134,1,test,trashnet,Cardboard,False,False
GROUP_00135,1,train,ewaste,Electronic Device,False,False
GROUP_00136,1,val,realwaste,Glass,False,False
GROUP_00137,1,val,trashnet,Cardboard,False,False
GROUP_00138,1,train,realwaste,Metal,False,False
GROUP_00139,1,train,trashnet,Metal,False,False
GROUP_00140,1,train,realwaste,Residual,False,False
GROUP_00141,1,train,realwaste,Textile,False,False
GROUP_00142,1,train,ewaste,Electronic Component,False,False
GROUP_00143,1,train,trashnet,Metal,False,False
GROUP_00144,1,train,realwaste,Plastic,False,False
GROUP_00145,1,train,realwaste,Metal,False,False
GROUP_00146,1,train,realwaste,Plastic,False,False
GROUP_00147,1,test,trashnet,Metal,False,False
GROUP_00148,1,train,ewaste,Electronic Device,False,False
GROUP_00149,1,val,phenomsg,Organic Stream,False,False
GROUP_00150,1,train,realwaste,Plastic,False,False
GROUP_00151,1,test,ewaste,Electronic Device,False,False
GROUP_00152,1,train,realwaste,Metal,False,False
GROUP_00153,1,test,ewaste,Electronic Device,False,False
GROUP_00154,1,train,realwaste,Metal,False,False
GROUP_00155,1,train,trashnet,Residual,False,False
GROUP_00156,1,train,realwaste,Metal,False,False
GROUP_00157,1,train,realwaste,Metal,False,False
GROUP_00158,1,test,phenomsg,Organic Stream,False,False
GROUP_00159,1,train,realwaste,Residual,False,False
GROUP_00160,4,train,trashnet,Metal|Plastic,False,True
GROUP_00161,1,test,phenomsg,Hazardous Waste,False,False
GROUP_00162,1,test,ewaste,Battery,False,False
GROUP_00163,1,val,realwaste,Metal,False,False
GROUP_00164,1,train,realwaste,Plastic,False,False
GROUP_00165,1,val,phenomsg,Residual,False,False
GROUP_00166,1,train,realwaste,Glass,False,False
GROUP_00167,1,test,trashnet,Paper,False,False
GROUP_00168,1,train,ewaste,Battery,False,False
GROUP_00169,1,test,phenomsg,Hazardous Waste,False,False
GROUP_00170,1,train,ewaste,Electronic Device,False,False
GROUP_00171,1,val,ewaste,Electronic Device,False,False
GROUP_00172,1,val,phenomsg,Recyclable Stream,False,False
GROUP_00173,1,val,realwaste,Textile,False,False
GROUP_00174,1,train,phenomsg,Residual,False,False
GROUP_00175,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_00176,1,train,realwaste,Food Organics,False,False
GROUP_00177,1,test,ewaste,Electronic Device,False,False
GROUP_00178,1,train,realwaste,Residual,False,False
GROUP_00179,1,train,realwaste,Residual,False,False
GROUP_00180,1,test,realwaste,Metal,False,False
GROUP_00181,1,train,trashnet,Glass,False,False
GROUP_00182,2,train,phenomsg,Recyclable Stream,False,True
GROUP_00183,1,train,phenomsg,Hazardous Waste,False,False
GROUP_00184,1,test,realwaste,Plastic,False,False
GROUP_00185,1,train,realwaste,Plastic,False,False
GROUP_00186,1,train,trashnet,Plastic,False,False
GROUP_00187,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_00188,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_00189,1,train,phenomsg,Hazardous Waste,False,False
GROUP_00190,1,train,trashnet,Glass,False,False
GROUP_00191,1,val,realwaste,Plastic,False,False
GROUP_00192,1,train,ewaste,Electronic Device,False,False
GROUP_00193,1,train,trashnet,Plastic,False,False
GROUP_00194,1,train,realwaste,Residual,False,False
GROUP_00195,1,train,trashnet,Paper,False,False
GROUP_00196,1,train,realwaste,Metal,False,False
GROUP_00197,1,test,realwaste,Plastic,False,False
GROUP_00198,1,train,phenomsg,Recyclable Stream,False,False
GROUP_00199,4,train,phenomsg,Hazardous Waste,True,True
GROUP_00200,1,train,realwaste,Cardboard,False,False
GROUP_00201,2,train,trashnet,Paper,False,True
GROUP_00202,1,test,trashnet,Glass,False,False
GROUP_00203,1,train,ewaste,Electronic Device,False,False
GROUP_00204,1,train,realwaste,Plastic,False,False
GROUP_00205,1,test,phenomsg,Organic Stream,False,False
GROUP_00206,1,val,ewaste,Large Electronic Appliance,False,False
GROUP_00207,2,train,ewaste,Large Electronic Appliance,False,True
GROUP_00208,1,train,trashnet,Cardboard,False,False
GROUP_00209,1,train,realwaste,Plastic,False,False
GROUP_00210,1,train,realwaste,Metal,False,False
GROUP_00211,3,train,realwaste|trashnet,Plastic|Residual,False,True
GROUP_00212,1,train,phenomsg,Residual,False,False
GROUP_00213,1,train,realwaste,Residual,False,False
GROUP_00214,1,train,trashnet,Paper,False,False
GROUP_00215,2,train,phenomsg,Hazardous Waste,True,True
GROUP_00216,1,test,phenomsg,Recyclable Stream,False,False
GROUP_00217,1,test,phenomsg,Residual,False,False
GROUP_00218,1,train,realwaste,Plastic,False,False
GROUP_00219,1,test,ewaste,Electronic Device,False,False
GROUP_00220,1,train,ewaste,Electronic Device,False,False
GROUP_00221,1,train,phenomsg,Hazardous Waste,False,False
GROUP_00222,1,train,realwaste,Plastic,False,False
GROUP_00223,1,test,realwaste,Paper,False,False
GROUP_00224,1,train,trashnet,Plastic,False,False
GROUP_00225,1,val,realwaste,Paper,False,False
GROUP_00226,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_00227,1,train,phenomsg,Organic Stream,False,False
GROUP_00228,1,train,realwaste,Metal,False,False
GROUP_00229,1,train,realwaste,Plastic,False,False
GROUP_00230,1,train,realwaste,Metal,False,False
GROUP_00231,1,train,ewaste,Electronic Device,False,False
GROUP_00232,2,train,phenomsg,Hazardous Waste,True,True
GROUP_00233,1,test,ewaste,Electronic Device,False,False
GROUP_00234,1,train,realwaste,Paper,False,False
GROUP_00235,1,train,ewaste,Electronic Device,False,False
GROUP_00236,1,train,realwaste,Plastic,False,False
GROUP_00237,1,val,ewaste,Electronic Device,False,False
GROUP_00238,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_00239,1,train,phenomsg,Organic Stream,False,False
GROUP_00240,1,train,realwaste,Residual,False,False
GROUP_00241,1,test,realwaste,Cardboard,False,False
GROUP_00242,1,train,trashnet,Paper,False,False
GROUP_00243,1,train,ewaste,Electronic Device,False,False
GROUP_00244,1,val,ewaste,Electronic Device,False,False
GROUP_00245,1,train,trashnet,Cardboard,False,False
GROUP_00246,1,train,trashnet,Paper,False,False
GROUP_00247,1,test,trashnet,Paper,False,False
GROUP_00248,1,train,realwaste,Plastic,False,False
GROUP_00249,1,train,realwaste,Residual,False,False
GROUP_00250,1,train,phenomsg,Recyclable Stream,False,False
GROUP_00251,1,train,realwaste,Plastic,False,False
GROUP_00252,1,train,ewaste,Electronic Device,False,False
GROUP_00253,2,train,phenomsg,Hazardous Waste,True,True
GROUP_00254,1,train,realwaste,Paper,False,False
GROUP_00255,1,train,trashnet,Glass,False,False
GROUP_00256,1,train,phenomsg,Residual,False,False
GROUP_00257,1,test,phenomsg,Residual,False,False
GROUP_00258,1,train,realwaste,Plastic,False,False
GROUP_00259,1,train,phenomsg,Residual,False,False
GROUP_00260,1,train,ewaste,Electronic Device,False,False
GROUP_00261,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_00262,1,train,phenomsg,Recyclable Stream,False,False
GROUP_00263,1,train,trashnet,Cardboard,False,False
GROUP_00264,1,train,trashnet,Metal,False,False
GROUP_00265,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_00266,1,train,trashnet,Metal,False,False
GROUP_00267,1,test,realwaste,Metal,False,False
GROUP_00268,1,test,trashnet,Glass,False,False
GROUP_00269,1,train,phenomsg,Residual,False,False
GROUP_00270,2,train,realwaste,Cardboard,False,True
GROUP_00271,1,train,ewaste,Electronic Device,False,False
GROUP_00272,1,train,realwaste,Paper,False,False
GROUP_00273,1,train,realwaste,Glass,False,False
GROUP_00274,1,test,phenomsg,Recyclable Stream,False,False
GROUP_00275,1,val,ewaste,Electronic Device,False,False
GROUP_00276,1,train,phenomsg,Residual,False,False
GROUP_00277,1,test,phenomsg,Residual,False,False
GROUP_00278,1,train,realwaste,Paper,False,False
GROUP_00279,1,train,ewaste,Electronic Device,False,False
GROUP_00280,1,train,realwaste,Paper,False,False
GROUP_00281,1,train,realwaste,Plastic,False,False
GROUP_00282,1,val,realwaste,Plastic,False,False
GROUP_00283,1,val,realwaste,Paper,False,False
GROUP_00284,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_00285,1,test,realwaste,Textile,False,False
GROUP_00286,1,train,realwaste,Metal,False,False
GROUP_00287,2,train,phenomsg,Hazardous Waste,True,True
GROUP_00288,1,val,trashnet,Metal,False,False
GROUP_00289,1,train,ewaste,Electronic Device,False,False
GROUP_00290,1,test,realwaste,Plastic,False,False
GROUP_00291,1,val,realwaste,Textile,False,False
GROUP_00292,1,val,phenomsg,Recyclable Stream,False,False
GROUP_00293,1,train,phenomsg,Residual,False,False
GROUP_00294,1,train,ewaste,Electronic Device,False,False
GROUP_00295,1,train,ewaste,Battery,False,False
GROUP_00296,1,train,trashnet,Glass,False,False
GROUP_00297,1,val,ewaste,Battery,False,False
GROUP_00298,1,train,realwaste,Plastic,False,False
GROUP_00299,2,train,phenomsg,Hazardous Waste,True,True
GROUP_00300,1,train,trashnet,Paper,False,False
GROUP_00301,1,train,realwaste,Paper,False,False
GROUP_00302,1,train,realwaste,Plastic,False,False
GROUP_00303,1,train,realwaste,Vegetation,False,False
GROUP_00304,1,test,ewaste,Electronic Device,False,False
GROUP_00305,1,train,trashnet,Metal,False,False
GROUP_00306,1,train,realwaste,Glass,False,False
GROUP_00307,1,val,trashnet,Metal,False,False
GROUP_00308,1,train,trashnet,Residual,False,False
GROUP_00309,1,train,ewaste,Electronic Device,False,False
GROUP_00310,1,train,phenomsg,Recyclable Stream,False,False
GROUP_00311,1,train,realwaste,Metal,False,False
GROUP_00312,1,train,ewaste,Electronic Device,False,False
GROUP_00313,1,train,phenomsg,Recyclable Stream,False,False
GROUP_00314,1,val,phenomsg,Recyclable Stream,False,False
GROUP_00315,1,train,phenomsg,Hazardous Waste,False,False
GROUP_00316,1,val,ewaste,Electronic Device,False,False
GROUP_00317,1,train,ewaste,Electronic Device,False,False
GROUP_00318,2,train,phenomsg,Hazardous Waste,True,True
GROUP_00319,1,train,realwaste,Metal,False,False
GROUP_00320,1,test,realwaste,Plastic,False,False
GROUP_00321,1,train,ewaste,Electronic Device,False,False
GROUP_00322,1,train,trashnet,Plastic,False,False
GROUP_00323,1,test,trashnet,Glass,False,False
GROUP_00324,1,val,phenomsg,Residual,False,False
GROUP_00325,1,val,realwaste,Plastic,False,False
GROUP_00326,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_00327,1,train,realwaste,Paper,False,False
GROUP_00328,1,train,realwaste,Vegetation,False,False
GROUP_00329,1,val,phenomsg,Hazardous Waste,False,False
GROUP_00330,1,train,realwaste,Residual,False,False
GROUP_00331,2,train,phenomsg,Hazardous Waste,True,True
GROUP_00332,1,train,trashnet,Glass,False,False
GROUP_00333,1,test,ewaste,Large Electronic Appliance,False,False
GROUP_00334,1,train,realwaste,Plastic,False,False
GROUP_00335,1,train,ewaste,Electronic Device,False,False
GROUP_00336,1,test,realwaste,Textile,False,False
GROUP_00337,1,val,ewaste,Electronic Device,False,False
GROUP_00338,1,train,realwaste,Metal,False,False
GROUP_00339,1,train,ewaste,Electronic Device,False,False
GROUP_00340,1,train,phenomsg,Residual,False,False
GROUP_00341,1,train,realwaste,Glass,False,False
GROUP_00342,1,val,ewaste,Electronic Device,False,False
GROUP_00343,1,train,realwaste,Metal,False,False
GROUP_00344,1,train,ewaste,Electronic Device,False,False
GROUP_00345,1,train,realwaste,Glass,False,False
GROUP_00346,1,val,realwaste,Glass,False,False
GROUP_00347,1,train,trashnet,Paper,False,False
GROUP_00348,1,train,realwaste,Metal,False,False
GROUP_00349,2,train,phenomsg,Hazardous Waste,True,True
GROUP_00350,1,train,realwaste,Glass,False,False
GROUP_00351,1,train,realwaste,Glass,False,False
GROUP_00352,1,train,realwaste,Cardboard,False,False
GROUP_00353,1,train,trashnet,Glass,False,False
GROUP_00354,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_00355,1,test,phenomsg,Residual,False,False
GROUP_00356,1,train,ewaste,Battery,False,False
GROUP_00357,1,train,phenomsg,Recyclable Stream,False,False
GROUP_00358,1,train,realwaste,Plastic,False,False
GROUP_00359,1,val,phenomsg,Recyclable Stream,False,False
GROUP_00360,1,test,ewaste,Electronic Device,False,False
GROUP_00361,1,train,trashnet,Paper,False,False
GROUP_00362,1,train,ewaste,Electronic Device,False,False
GROUP_00363,1,train,ewaste,Electronic Device,False,False
GROUP_00364,1,test,trashnet,Metal,False,False
GROUP_00365,1,train,ewaste,Electronic Device,False,False
GROUP_00366,1,val,ewaste,Large Electronic Appliance,False,False
GROUP_00367,1,train,phenomsg,Hazardous Waste,False,False
GROUP_00368,1,val,realwaste,Metal,False,False
GROUP_00369,1,train,trashnet,Plastic,False,False
GROUP_00370,2,train,phenomsg,Hazardous Waste,True,True
GROUP_00371,1,train,realwaste,Food Organics,False,False
GROUP_00372,1,train,realwaste,Plastic,False,False
GROUP_00373,1,val,ewaste,Battery,False,False
GROUP_00374,1,train,realwaste,Metal,False,False
GROUP_00375,1,test,trashnet,Metal,False,False
GROUP_00376,1,train,realwaste,Residual,False,False
GROUP_00377,1,train,trashnet,Paper,False,False
GROUP_00378,1,train,trashnet,Cardboard,False,False
GROUP_00379,1,train,phenomsg,Recyclable Stream,False,False
GROUP_00380,2,train,realwaste,Food Organics|Residual,False,True
GROUP_00381,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_00382,1,train,realwaste,Residual,False,False
GROUP_00383,1,train,phenomsg,Organic Stream,False,False
GROUP_00384,1,train,realwaste,Vegetation,False,False
GROUP_00385,2,train,ewaste,Electronic Device,False,True
GROUP_00386,1,train,ewaste,Electronic Device,False,False
GROUP_00387,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_00388,1,train,realwaste,Metal,False,False
GROUP_00389,2,train,phenomsg,Hazardous Waste,True,True
GROUP_00390,1,train,ewaste,Electronic Component,False,False
GROUP_00391,1,train,trashnet,Metal,False,False
GROUP_00392,1,train,phenomsg,Organic Stream,False,False
GROUP_00393,1,val,trashnet,Metal,False,False
GROUP_00394,1,train,trashnet,Paper,False,False
GROUP_00395,1,val,realwaste,Plastic,False,False
GROUP_00396,1,train,realwaste,Metal,False,False
GROUP_00397,1,train,realwaste,Metal,False,False
GROUP_00398,1,train,realwaste,Plastic,False,False
GROUP_00399,1,val,realwaste,Paper,False,False
GROUP_00400,1,train,realwaste,Plastic,False,False
GROUP_00401,1,train,realwaste,Glass,False,False
GROUP_00402,1,test,phenomsg,Recyclable Stream,False,False
GROUP_00403,1,test,trashnet,Glass,False,False
GROUP_00404,1,train,realwaste,Plastic,False,False
GROUP_00405,1,val,realwaste,Glass,False,False
GROUP_00406,1,train,realwaste,Cardboard,False,False
GROUP_00407,1,train,realwaste,Glass,False,False
GROUP_00408,1,train,trashnet,Cardboard,False,False
GROUP_00409,1,train,trashnet,Metal,False,False
GROUP_00410,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_00411,1,train,realwaste,Plastic,False,False
GROUP_00412,1,train,ewaste,Electronic Component,False,False
GROUP_00413,2,train,phenomsg,Residual,False,True
GROUP_00414,2,train,ewaste,Battery,False,True
GROUP_00415,1,train,ewaste,Electronic Device,False,False
GROUP_00416,1,test,trashnet,Plastic,False,False
GROUP_00417,1,test,trashnet,Plastic,False,False
GROUP_00418,1,train,trashnet,Paper,False,False
GROUP_00419,1,val,realwaste,Residual,False,False
GROUP_00420,1,train,ewaste,Electronic Device,False,False
GROUP_00421,1,train,realwaste,Food Organics,False,False
GROUP_00422,1,test,ewaste,Large Electronic Appliance,False,False
GROUP_00423,1,train,trashnet,Plastic,False,False
GROUP_00424,1,test,ewaste,Electronic Device,False,False
GROUP_00425,1,train,trashnet,Plastic,False,False
GROUP_00426,1,train,realwaste,Vegetation,False,False
GROUP_00427,1,train,realwaste,Vegetation,False,False
GROUP_00428,1,train,realwaste,Paper,False,False
GROUP_00429,1,val,phenomsg,Recyclable Stream,False,False
GROUP_00430,1,train,realwaste,Paper,False,False
GROUP_00431,1,test,ewaste,Large Electronic Appliance,False,False
GROUP_00432,1,train,trashnet,Cardboard,False,False
GROUP_00433,1,train,trashnet,Paper,False,False
GROUP_00434,1,test,trashnet,Paper,False,False
GROUP_00435,1,test,realwaste,Food Organics,False,False
GROUP_00436,1,train,trashnet,Glass,False,False
GROUP_00437,1,val,realwaste,Plastic,False,False
GROUP_00438,1,train,trashnet,Paper,False,False
GROUP_00439,2,train,phenomsg,Hazardous Waste,True,True
GROUP_00440,2,train,phenomsg,Hazardous Waste,True,True
GROUP_00441,1,train,trashnet,Cardboard,False,False
GROUP_00442,1,train,realwaste,Paper,False,False
GROUP_00443,1,val,phenomsg,Recyclable Stream,False,False
GROUP_00444,1,train,realwaste,Residual,False,False
GROUP_00445,1,val,realwaste,Residual,False,False
GROUP_00446,1,train,ewaste,Electronic Device,False,False
GROUP_00447,1,train,realwaste,Cardboard,False,False
GROUP_00448,1,train,realwaste,Food Organics,False,False
GROUP_00449,1,train,realwaste,Cardboard,False,False
GROUP_00450,2,train,ewaste,Electronic Device,True,True
GROUP_00451,1,train,realwaste,Food Organics,False,False
GROUP_00452,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_00453,1,train,ewaste,Electronic Device,False,False
GROUP_00454,1,val,phenomsg,Recyclable Stream,False,False
GROUP_00455,1,test,realwaste,Metal,False,False
GROUP_00456,1,train,realwaste,Textile,False,False
GROUP_00457,1,train,phenomsg,Recyclable Stream,False,False
GROUP_00458,2,train,phenomsg,Hazardous Waste,True,True
GROUP_00459,1,train,realwaste,Plastic,False,False
GROUP_00460,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_00461,1,train,phenomsg,Recyclable Stream,False,False
GROUP_00462,1,train,trashnet,Paper,False,False
GROUP_00463,1,train,trashnet,Paper,False,False
GROUP_00464,1,test,phenomsg,Organic Stream,False,False
GROUP_00465,1,train,ewaste,Electronic Device,False,False
GROUP_00466,1,train,phenomsg,Residual,False,False
GROUP_00467,1,test,ewaste,Electronic Device,False,False
GROUP_00468,1,train,realwaste,Metal,False,False
GROUP_00469,1,test,realwaste,Glass,False,False
GROUP_00470,1,val,ewaste,Large Electronic Appliance,False,False
GROUP_00471,1,test,trashnet,Cardboard,False,False
GROUP_00472,1,train,ewaste,Electronic Device,False,False
GROUP_00473,1,val,realwaste,Textile,False,False
GROUP_00474,1,train,ewaste,Electronic Device,False,False
GROUP_00475,1,train,phenomsg,Recyclable Stream,False,False
GROUP_00476,1,train,realwaste,Food Organics,False,False
GROUP_00477,1,train,phenomsg,Residual,False,False
GROUP_00478,1,train,realwaste,Paper,False,False
GROUP_00479,1,train,realwaste,Glass,False,False
GROUP_00480,1,train,realwaste,Vegetation,False,False
GROUP_00481,1,train,trashnet,Paper,False,False
GROUP_00482,1,train,phenomsg,Residual,False,False
GROUP_00483,2,train,ewaste,Electronic Device,False,True
GROUP_00484,1,train,ewaste,Electronic Device,False,False
GROUP_00485,1,train,realwaste,Metal,False,False
GROUP_00486,1,val,realwaste,Plastic,False,False
GROUP_00487,1,train,trashnet,Plastic,False,False
GROUP_00488,1,train,trashnet,Residual,False,False
GROUP_00489,2,train,ewaste,Electronic Component,True,True
GROUP_00490,1,train,phenomsg,Hazardous Waste,False,False
GROUP_00491,1,train,ewaste,Electronic Device,False,False
GROUP_00492,1,train,realwaste,Plastic,False,False
GROUP_00493,1,train,ewaste,Battery,False,False
GROUP_00494,1,train,realwaste,Paper,False,False
GROUP_00495,1,train,trashnet,Plastic,False,False
GROUP_00496,1,train,ewaste,Electronic Device,False,False
GROUP_00497,1,val,realwaste,Residual,False,False
GROUP_00498,1,val,ewaste,Electronic Component,False,False
GROUP_00499,1,train,ewaste,Large Electronic Appliance,False,False
GROUP_00500,1,train,realwaste,Textile,False,False
GROUP_00501,2,train,realwaste,Plastic,False,True
GROUP_00502,1,train,trashnet,Paper,False,False
GROUP_00503,1,val,trashnet,Cardboard,False,False
GROUP_00504,1,test,realwaste,Textile,False,False
GROUP_00505,1,train,trashnet,Plastic,False,False
GROUP_00506,2,train,phenomsg,Hazardous Waste,True,True
GROUP_00507,1,train,trashnet,Metal,False,False
GROUP_00508,1,train,trashnet,Plastic,False,False
GROUP_00509,1,train,realwaste,Plastic,False,False
GROUP_00510,1,val,realwaste,Food Organics,False,False
GROUP_00511,2,train,phenomsg,Hazardous Waste,True,True
GROUP_00512,1,train,realwaste,Glass,False,False
GROUP_00513,1,train,phenomsg,Organic Stream,False,False
